Робот ли; Отскоки человек; Уровень; Время (сек); Количество отскоков; Случайность; Статус
False; 3; ST1; 8,27; 5; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 4,08; 5; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 7,10; 5; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 5,97; 5; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 5,70; 5; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 5,37; 6; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 7,80; 4; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 6,90; 6; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 6,60; 5; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 5,17; 6; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 7,53; 5; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 6,63; 5; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 6,65; 5; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 7,40; 5; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 7,27; 5; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 7,85; 6; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 3; ST1; 6,57; 5; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 6; ST1; 7,08; 5; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 6; ST1; 7,87; 7; 0,3; Р’С‹РёРіСЂС‹С€ 
False; 6; ST1; 8,53; 6; 0,3; Р’С‹РёРіСЂС‹С€ 
